DateTime,AddedIPs,RemovedIPs
1627956934,31,32
1627957654,38,28
1627958169,6,6
1627958374,28,37
1627959094,22,31
1627959617,10,11
1627959814,38,30
1627960330,12,6
1627960534,34,29
1627961254,28,31
1627961974,36,31
1627962247,10,8
1627962694,25,20
1627963415,33,30
1627964176,35,38
1627964854,23,33
1627965574,32,35
1627966090,7,7
1627966294,38,48
1627967014,33,37
1627967734,25,33
1627968007,12,14
1627968454,26,40
1627969174,32,31
1627969937,50,42
1627970614,27,25
1627971334,22,31
1627971848,17,10
1627972054,35,33
1627972774,28,34
1627973494,24,42
1627973766,19,9
1627974256,28,47
1627974934,22,48
1627975694,46,44
1627976374,19,40
1627977094,30,40
1627977814,25,33
1627978534,27,39
1627979254,31,45
1627979526,16,25
1627979974,20,46
1627980695,35,29
1627981467,64,49
1627982134,37,26
1627982854,35,35
1627983574,29,40
1627984294,28,22
1627984566,1,0
1627985014,21,37
1627985734,54,30
1627986454,25,31
1627987174,33,34
1627987894,32,35
1627988614,42,37
1627988885,7,18
1627989380,62,80
1627990054,35,25
1627990774,21,35
1627991285,11,0
1627991494,24,39
1627992214,23,33
1627992934,23,27
1627993654,29,29
1627994374,23,25
1627995094,22,37
1627995372,15,36
1627995814,28,32
1627996534,25,29
1627997297,28,57
1627997974,169,32
1627998694,21,32
1627999215,11,0
1627999414,28,32
1628000134,39,20
1628000854,29,36
1628001127,271,196
1628001575,23,35
1628002294,28,33
1628003069,26,46
1628003526,7,17
1628003734,25,39
1628004454,22,29
1628004972,25,0
1628005174,25,26
1628005894,33,29
1628006614,49,41
1628007135,17,25
1628007334,48,48
1628008054,65,17
1628008774,62,31
1628009048,18,0
1628009494,44,32
1628010214,19,29
1628010982,37,44
1628011654,29,20
1628012374,31,43
1628012888,14,10
1628013095,25,31
1628013814,36,37
1628014534,23,35
1628015052,19,6
1628015254,19,21
1628015974,21,29
1628016694,28,26
1628016967,20,14
1628017414,24,26
1628018176,39,55
1628018897,33,44
1628019574,31,32
1628020294,35,29
1628020804,8,8
1628021014,27,23
1628021734,39,38
1628022454,29,23
1628022731,7,13
1628023174,30,36
1628023894,20,31
1628024664,32,43
1628025334,40,36
1628026054,22,29
1628026573,6,8
1628026774,25,30
1628027524,32,38
1628028214,28,29
1628028934,42,22
1628029654,50,25
1628030374,50,31
1628030645,11,26
1628031094,24,32
1628031814,29,25
1628032575,29,43
1628033049,18,13
1628033254,17,22
1628033974,35,30
1628034484,11,20
1628034694,23,42
1628035414,21,31
1628036134,37,38
1628036648,10,5
1628036854,30,28
1628037574,33,36
1628038295,17,33
1628038818,11,9
1628039014,19,31
1628039734,27,27
1628040454,37,30
1628041174,20,32
1628041894,26,25
1628042662,39,58
1628043334,29,32
1628044054,28,36
1628044567,10,0
1628044774,26,35
1628045494,21,22
1628046214,21,36
1628046729,9,11
1628046934,20,35
1628047697,34,41
1628048374,34,29
1628048647,10,8
1628049094,25,25
1628049814,25,33
1628050576,32,43
1628051254,28,19
1628051974,25,31
1628052490,12,7
1628052695,31,42
1628053414,30,31
1628054133,26,33
1628054647,19,6
1628054854,28,26
1628055574,22,34
1628056294,20,38
1628056567,22,14
1628057014,26,30
1628057734,32,35
1628058496,49,56
1628059174,37,25
1628059894,30,34
1628060407,19,15
