DateTime,Entries,UniqueIPs
1627956934,127306,9280399
1627957654,127311,9280409
1627958169,127311,9280409
1627958374,127301,9280400
1627959094,127291,9280391
1627959617,127290,9280390
1627959814,127303,9280398
1627960330,127309,9280404
1627960534,127328,9280409
1627961254,127324,9280406
1627961974,127329,9280411
1627962247,127330,9280413
1627962694,127333,9280418
1627963415,127342,9280421
1627964176,127337,9280418
1627964854,127324,9280408
1627965574,127322,9280405
1627966090,127322,9280405
1627966294,127312,9280395
1627967014,127308,9280391
1627967734,127297,9280383
1627968007,127295,9280381
1627968454,127277,9280367
1627969174,127282,9280368
1627969937,127287,9280376
1627970614,127287,9280378
1627971334,127278,9280369
1627971848,127285,9280376
1627972054,127287,9280378
1627972774,127278,9280372
1627973494,127260,9280354
1627973766,127272,9280364
1627974256,127251,9280345
1627974934,127227,9280319
1627975694,127235,9280321
1627976374,127217,9280300
1627977094,127215,9280290
1627977814,127206,9280282
1627978534,127195,9280270
1627979254,127182,9280256
1627979526,127174,9280247
1627979974,127147,9280221
1627980695,127149,9280227
1627981467,127162,9280242
1627982134,127171,9280253
1627982854,127175,9280253
1627983574,127166,9280242
1627984294,127172,9280248
1627984566,127173,9280249
1627985014,127159,9280233
1627985734,127181,9280257
1627986454,127169,9280251
1627987174,127165,9280250
1627987894,127166,9280247
1627988614,127173,9280252
1627988885,127162,9280241
1627989380,127144,9280223
1627990054,127154,9280233
1627990774,127136,9280219
1627991285,127147,9280230
1627991494,127127,9280215
1627992214,127122,9280205
1627992934,127120,9280201
1627993654,127116,9280201
1627994374,127104,9280199
1627995094,127087,9280184
1627995372,127067,9280163
1627995814,127067,9280159
1627996534,127062,9280155
1627997297,127029,9280126
1627997974,127157,9280263
1627998694,127135,9280252
1627999215,127145,9280263
1627999414,127141,9280259
1628000134,127158,9280278
1628000854,127160,9280271
1628001127,127152,9280346
1628001575,127143,9280334
1628002294,127135,9280329
1628003069,127114,9280309
1628003526,127104,9280299
1628003734,127090,9280285
1628004454,127089,9280278
1628004972,127114,9280303
1628005174,127113,9280302
1628005894,127116,9280306
1628006614,127126,9280314
1628007135,127118,9280306
1628007334,127121,9280306
1628008054,127166,9280354
1628008774,127199,9280385
1628009048,127217,9280403
1628009494,127228,9280415
1628010214,127217,9280405
1628010982,127200,9280398
1628011654,127206,9280407
1628012374,127198,9280395
1628012888,127202,9280399
1628013095,127194,9280393
1628013814,127185,9280392
1628014534,127178,9280380
1628015052,127190,9280393
1628015254,127188,9280391
1628015974,127179,9280383
1628016694,127186,9280385
1628016967,127192,9280391
1628017414,127190,9280389
1628018176,127166,9280373
1628018897,127157,9280362
1628019574,127156,9280361
1628020294,127155,9280367
1628020804,127154,9280367
1628021014,127160,9280371
1628021734,127160,9280372
1628022454,127165,9280378
1628022731,127158,9280372
1628023174,127152,9280366
1628023894,127140,9280355
1628024664,127128,9280344
1628025334,127128,9280348
1628026054,127121,9280341
1628026573,127120,9280339
1628026774,127114,9280334
1628027524,127110,9280328
1628028214,127109,9280327
1628028934,127129,9280347
1628029654,127153,9280372
1628030374,127171,9280391
1628030645,127157,9280376
1628031094,127146,9280368
1628031814,127155,9280372
1628032575,127145,9280358
1628033049,127150,9280363
1628033254,127145,9280358
1628033974,127156,9280363
1628034484,127146,9280354
1628034694,127128,9280335
1628035414,127117,9280325
1628036134,127116,9280324
1628036648,127121,9280329
1628036854,127120,9280331
1628037574,127114,9280328
1628038295,127098,9280312
1628038818,127099,9280314
1628039014,127086,9280302
1628039734,127086,9280302
1628040454,127096,9280309
1628041174,127080,9280297
1628041894,127081,9280298
1628042662,127058,9280279
1628043334,127055,9280276
1628044054,127040,9280268
1628044567,127049,9280278
1628044774,127038,9280269
1628045494,127037,9280268
1628046214,127024,9280253
1628046729,127024,9280251
1628046934,127014,9280236
1628047697,127008,9280229
1628048374,127013,9280234
1628048647,127015,9280236
1628049094,127010,9280236
1628049814,127005,9280228
1628050576,126996,9280217
1628051254,127005,9280226
1628051974,126999,9280220
1628052490,127003,9280225
1628052695,126990,9280214
1628053414,126989,9280213
