DateTime,Entries,UniqueIPs
1627759212,7831,7831
1627761140,7846,7846
1627763050,7890,7890
1627764969,7848,7848
1627766900,7838,7838
1627768822,7846,7846
1627770973,7811,7811
1627773132,9504,9504
1627775046,9483,9483
1627776981,9470,9470
1627778887,9503,9503
1627781050,9581,9581
1627782971,9617,9617
1627784896,9601,9601
1627787058,9624,9624
1627789078,9623,9623
1627791143,9627,9627
1627793048,9643,9643
1627795208,9641,9641
1627797129,9644,9644
1627799058,9618,9618
1627800971,9605,9605
1627802896,9598,9598
1627804822,9589,9589
1627806725,9569,9569
1627808671,9533,9533
1627810568,9492,9492
1627812733,5269,5269
1627814645,5267,5267
1627816581,7215,7215
1627818487,7209,7209
1627820655,7246,7246
1627822567,7246,7246
1627824499,7274,7274
1627826662,7297,7297
1627828579,7318,7318
1627830730,7352,7352
1627832645,7360,7360
1627834577,7367,7367
1627836488,7383,7383
1627838650,7383,7383
1627840567,7404,7404
1627842488,7400,7400
1627844657,7411,7411
1627846578,7414,7414
1627848505,7450,7450
1627850647,7453,7453
1627852567,7453,7453
1627854494,7449,7449
1627856649,7455,7455
1627858570,7440,7440
1627860494,9077,9077
1627862419,9110,9110
1627864328,9122,9122
1627866264,9119,9119
1627868167,9115,9115
1627870094,9105,9105
1627872248,9125,9125
1627874170,9122,9122
1627876096,9109,9109
1627878249,9135,9135
1627880178,9122,9122
1627882098,9137,9137
1627884258,9150,9150
1627886171,9165,9165
1627888096,9171,9171
1627890008,9152,9152
1627891927,9169,9169
1627893855,9161,9161
1627895766,9170,9170
1627897928,9154,9154
1627899856,5083,5083
1627901765,5085,5085
1627903694,7113,7113
1627905613,7170,7170
1627907526,7168,7168
1627909470,7158,7158
1627911368,7142,7142
1627913531,7148,7148
1627915446,7160,7160
1627917376,7175,7175
1627919284,7188,7188
1627921460,7203,7203
1627923366,7201,7201
1627925296,7251,7251
1627927211,7272,7272
1627929371,7281,7281
1627931547,7275,7275
1627933446,7269,7269
1627935377,7273,7273
1627937286,7239,7239
1627939449,7282,7282
1627941370,7276,7276
1627943295,7259,7259
1627945223,8879,8879
1627947370,8881,8881
1627949526,8907,8907
1627951448,8850,8850
1627953378,8825,8825
1627955285,8800,8800
1627957447,8810,8810
1627959367,8803,8803
1627961298,8815,8815
1627963214,8803,8803
1627965127,8790,8790
1627967064,8768,8768
1627968974,8774,8774
1627971128,8776,8776
1627973047,8769,8769
1627974976,8781,8781
1627976887,8757,8757
1627979047,8764,8764
1627980968,8745,8745
1627982893,8760,8760
1627984817,4813,4813
1627986727,4773,4773
1627988663,6729,6729
1627990568,6714,6714
1627992729,6689,6689
1627994645,6723,6723
1627996579,6763,6763
1627998486,6798,6798
1628000648,6809,6809
1628002566,6826,6826
1628004497,6848,6848
1628006413,6859,6859
1628008326,6876,6876
1628010265,6892,6892
1628012167,6916,6916
1628014328,6927,6927
1628016248,6966,6966
1628018177,7000,7000
1628020089,7016,7016
1628022247,7000,7000
1628024169,7032,7032
1628026094,7041,7041
1628028022,7047,7047
1628029925,7041,7041
1628031864,8693,8693
1628033768,8722,8722
1628035926,8719,8719
1628037848,8743,8743
1628039779,8753,8753
1628041686,8739,8739
1628043849,8753,8753
1628045770,8747,8747
1628047698,8742,8742
1628049634,8754,8754
1628051527,8757,8757
1628053469,8761,8761
1628055366,8750,8750
1628057533,8748,8748
1628059445,8750,8750
1628061381,8773,8773
1628063286,8763,8763
1628065450,8774,8774
1628067365,8808,8808
1628069542,8788,8788
1628071464,5087,5087
1628073376,5117,5117
1628075290,6788,6788
1628077221,6828,6828
1628079130,6848,6848
1628081052,6889,6889
1628082976,6908,6908
1628085135,6913,6913
1628087058,6930,6930
1628088972,6968,6968
1628090885,6987,6987
1628092830,7005,7005
1628094734,7014,7014
1628096913,7019,7019
1628099050,7030,7030
1628100970,7057,7057
1628102899,7095,7095
1628104807,7116,7116
1628106727,7112,7112
1628108656,7125,7125
1628110568,7163,7163
1628112486,7174,7174
1628114436,7215,7215
1628116325,7207,7207
1628118256,8599,8599
1628120179,8624,8624
1628122090,8646,8646
1628124248,8672,8672
1628126168,8677,8677
1628128098,8697,8697
1628130010,8699,8699
1628131937,8698,8698
1628133849,8719,8719
1628135776,8735,8735
1628137687,8730,8730
1628139859,8734,8734
1628141771,8705,8705
1628143957,8697,8697
1628145849,8705,8705
1628147777,8698,8698
1628149688,8713,8713
1628151851,8738,8738
1628153778,8740,8740
1628155699,8753,8753
1628157864,4794,4794
1628159788,4800,4800
1628161691,6761,6761
1628163849,6797,6797
1628165767,6812,6812
1628167705,6832,6832
1628169847,6875,6875
1628171767,6888,6888
1628173694,6900,6900
1628175612,6911,6911
1628177526,6938,6938
1628179466,6903,6903
1628181368,6938,6938
1628183295,6934,6934
1628185213,6949,6949
1628187128,6957,6957
1628189059,6967,6967
1628190967,6984,6984
1628192916,7021,7021
1628194814,7011,7011
1628196737,7051,7051
1628198646,7081,7081
1628200823,7079,7079
1628202736,7074,7074
1628204898,8634,8634
1628206808,8614,8614
1628208728,8623,8623
1628210660,8612,8612
1628212568,8634,8634
1628214500,8617,8617
1628216657,8629,8629
1628218567,8648,8648
1628220489,8669,8669
1628222429,8652,8652
1628224326,8660,8660
1628226257,8636,8636
1628228178,8644,8644
1628230330,8649,8649
1628232260,8662,8662
1628234171,8646,8646
1628236088,8636,8636
1628238016,8618,8618
1628239926,8616,8616
1628241850,8607,8607
1628243776,8623,8623
